Component|Type|Status|Dependencies|Methods/Actions|Issues
replenishment|Handler|Complete|Replenishment,ActivityLogger|list,suggestions,detect,suggest,generate,for_demand,targets,save_target,delete_target|None
report|Handler|Complete|Report|daily,products,inbound,outbound,stock,ledger,list,modules|None
staging|Handler|Complete|StagingService,ActivityLogger|scan_staging,staged_items|None
stock|Handler|Complete|Stock,ActivityLogger|list,list_grouped,summary,expiring,by_location,detail,locations,transfer,adjust,hold,release,scan,scan_override|None
stocktake|Handler|Complete|StockTake,ActivityLogger|list,detail,stats,get_locations,get_scope_locations,get_stock,create,add_item,auto_load,update,delete_item,delete,start_counting,save_counters,advance_to_c2,finish_counting,save_review,apply_adjustment|None
system|Handler|Partial|Report,ActivityLogger|reset_operational_data|Single action handler; admin maintenance only
users|Handler|Complete|Auth|list,all,detail,create,update,delete|None
wave|Handler|Complete|Wave,ActivityLogger|list,detail,candidate_orders,create,cancel,add_order,release|None
waves|Handler|Complete|Wave,ActivityLogger|list,detail,candidate_orders,create,cancel|Possible duplicate of wave handler; similar functionality
AbcAnalysis|Service|Complete|PDO|analyze,status,recompute|Velocity class analysis; 90-day lookback window
ActivityLogger|Service|Complete|PDO|log,getRecent,getForReference,countRecent,actionLabel,moduleIcon,moduleColor|Audit trail; used by all handlers
Asn|Service|Complete|PDO,Product|list,countAll,detail,createWithNumber,create,generateNumber,update,cancel,markReceived,linkedInbounds|Advanced Shipping Notice workflow; links to inbound_orders
Auth|Service|Complete|PDO|check,user,login,logout,requireAuth,loginByToken,hasRole,requireRole,canWrite,canAdmin,requireAdmin,requireWrite,requireDepartment|Role-based access control (RBAC)
BinTransfer|Service|Complete|PDO|generateNumber,getAll,countAll,getById,getStockAtLocation,getLocationsWithStock,create,execute,cancel|Bin-to-bin stock movement and tracking
ConsolidationService|Service|Complete|PDO|consolidate,getStatus|Shipment consolidation logic
Customer|Service|Complete|PDO|getAll,getCount,getTypeStats,getPaginated,getById,create,update,delete|Customer master data management
CycleCount|Service|Complete|PDO|listSchedules,saveSchedule,deleteSchedule,runDue,runNow|Scheduled inventory counting and execution
DiscrepancyService|Service|Complete|PDO|logDiscrepancy,get,list|Audit discrepancy tracking and logging
DispatchService|Service|Complete|PDO|scanDispatch,getDispatch,listDispatches|Dispatch orchestration and order batching
ExcelExport|Service|Complete|PHPSpreadsheet|__construct,setTitle,setSubtitle,setHeaders,addRow,addRows,addSummary,autoSize,download,exportInbound,exportInboundWithItems,exportOutbound,exportOutboundWithItems,exportStock,exportLedger,exportProducts,exportCustomers,exportDailyReport,exportExpiringItems,exportStockTake|Excel export builder using PhpSpreadsheet library
FefoAllocator|Service|Complete|PDO,Stock|allocate|FEFO (First Expired First Out) allocation logic; critical for outbound
GiExportService|Service|Complete|PDO,ExcelExport|export|Goods Issue export handler
Inbound|Service|Complete|PDO,Putaway,Stock,FefoAllocator|generateNumber,getAll,countAll,getById,getItems,getItemLocations,getOrderLocations,create,addItem,saveItemLocations,calculatePallet,calcPalletByLocation,calculateExpiryDate,calculatePalletDistribution,update,updateItem,updateItemDates,updateItemPalletNo,updateItemQty,deleteItem,complete,changeItemStatus,savePalletLocations,saveItemLocation,autoComplete,regenerateLedger,delete,getStats|Inbound receiving & putaway orchestration; core flow
LabelPrinter|Service|Complete|PDO,PalletHelper,ExcelExport|lpnLabel|LPN label generation and printing
LocationManager|Service|Complete|PDO,PalletHelper|getAll,countAll,getAvailableLocations,isAvailable,getLocationInfo,suggestLocationsForInbound,getAvailableLocationsByLevel,commitInboundLocations,getFEFOByLocation,reserveForOutbound,deductAfterShip,releaseReservation,getPicklistLocations,getZoneSummary|Warehouse location hierarchy (aisle-rack-level-bin) management
OrderService|Service|Complete|PDO|create,get,list,markShipped,markPartiallyShipped|Order lifecycle management and status transitions
Outbound|Service|Complete|PDO,Stock,FefoAllocator,Inbound|displayOrderNo,saveDestinations,generateNumber,getAll,countAll,getById,getItems,getItemPickedLocations,getAvailableStock,getTotalAvailableQty,getFEFOAllocation,addItemWithFEFO,create,calculatePallet,calculatePalletDistribution,update,updateItem,deleteItem,pickItems,ship,complete,delete,getStats|Outbound shipping with FEFO allocation; core flow
PalletHelper|Service|Complete|PDO,Product|calculatePallet,palletToUnits,getPalletCapacity,validateQuantity,calculateExpiryDate,getExpiryInfo,generateLocations,getProductUOMInfo,calculateLiters,deriveUppFromPackSize,getUomOptions,calculatePalletDistribution,levelOf,palletFunctionFor,isFullPallet,calcPalletByLocation,validateQuantityV2|UOM/pallet conversion helper; used across services
PickingService|Service|Complete|PDO,Picklist,PicklistService|confirmPick,getPendingPicks|Pick confirmation workflow
Picklist|Service|Complete|PDO,PalletHelper|__construct,generateNumber,createFromOutbound,createFromOrders,insertPicklistItems,calculatePalletDistribution,getById,getItems,getAll,countAll,getStats,updateItem,confirm,complete,delete,exportForPrint,addCrossDockItem|Picklist generation & management; links to waves
PicklistService|Service|Complete|PDO,Picklist|generateForWave,createForOrder|Picklist service orchestration
Product|Service|Complete|PDO|getAll,getCount,getStatsByUom,getPaginated,getById,getByCode,create,update,delete,search,calculatePallet,calculatePalletDistribution,getUomOptions,validateQuantity,calculateExpiryDate|Product master data management and UOM handling
Putaway|Service|Complete|PDO,LocationManager,PalletHelper,Inbound,TaskAssignmentService|recommend,recommendLocations,validate,listBlocks,addBlock,removeBlock,createTask,enqueueForPutaway,palletFunctionFor,openTaskNumbers,reconcileItemRows,getInboundOpenTask,validatePlacement,listTasks,taskDetail,assignTask,confirmPallet,completeTask,cancelTask,hasOpenPallets,assignTeam,unassignTeam,updateTaskPallet,completeTaskPallet,listAssignableUsers,getLpnLabelData,fallbackLpnLabel,myTasks,scanOverride,listZones,saveZone,deleteZone,listZoneAisles,saveZoneAisle,deleteZoneAisle,listUomLimits,saveUomLimit,listProductRules,saveProductRule,deleteProductRule,listAisleMap,listAllBins,cancelItemPallets,deriveUppFromPackSize,levelOf,isFullPallet,calcPalletByLocation|Putaway task orchestration with zone/aisle/bin/UOM rules; large feature set
Replenishment|Service|Complete|PDO,Stock|list,targets,detectShortages,suggestTransfers,generateTransfersFull,demandReplenishment,saveTarget,deleteTarget|Replenishment detection & transfer generation
Report|Service|Complete|PDO,ActivityLogger,ExcelExport,Stock,Inbound,Outbound,StockTake|getDailyReport,dashboardStats,aisleDetail,checkExpiryAlerts,fefoQueue,dashboardAlerts,dashboardInsights,reportProducts,reportStock,reportLedger,activityLogList,activityModules,resetOperationalData,exportToCSV|Analytics & reporting engine; aggregates multiple services
StagingService|Service|Complete|PDO,Stock|scanStaging,getStagedItems|Staging area scan & management
Stock|Service|Complete|PDO,ActivityLogger|getAll,getById,getByProduct,getSummary,getExpiringSoon,getExpiryInfo,getMovement,getStockByLocation,transfer,adjust,availableHoldClause,hold,release,scan,scanOverride|Core stock ledger & movement; high critical path usage
StockTake|Service|Complete|PDO,Stock|getAll,getById,getItems,calculateAccuracy,create,autoLoadByLocations,getActiveLockedLocations,addItem,update,delete,getSystemStock,getStats,startCounting,saveC1,advanceToC2,saveC2,saveCounters,finishCounting,saveReview,applyAdjustment,addItemFull|Cycle counting & stock opname orchestration
TaskAssignmentService|Service|Complete|PDO|createOperator,getOperator,listOperators,assign|Operator task assignment for putaway
Wave|Service|Complete|PDO,Picklist,LocationManager|generateNumber,countAll,getAll,getById,detail,create,cancel,candidateOrders,addOrder,release|Wave picking orchestration; links to picklists
